tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
797,0.797,B,service,rudder_controller1_bus,rudder1,7,RequestService,rudder1#4,,SERVICE,,51,_valueCurrent=,-42.199999999999996,valueTarget=,45.0,_speedCurrent=,0.7999999999999999,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
797,0.797,B,notify,rudder_bus1,rudder_controller1,52,RequestService,rudder_controller1#1,,SERVICE,
798,0.798,B,notify,rudder_controller1_bus,rudder1,8,RequestService,rudder1#4,,SERVICE,
798,0.798,B,service,rudder_controller1_bus,rudder1,8,RequestService,rudder1#4,,SERVICE,,52,_valueCurrent=,-41.4,valueTarget=,45.0,_speedCurrent=,0.8999999999999999,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
798,0.798,B,notify,rudder_bus1,rudder_controller1,53,RequestService,rudder_controller1#1,,SERVICE,
799,0.799,B,notify,rudder_controller1_bus,rudder1,9,RequestService,rudder1#4,,SERVICE,
799,0.799,B,service,rudder_controller1_bus,rudder1,9,RequestService,rudder1#4,,SERVICE,,53,_valueCurrent=,-40.5,valueTarget=,45.0,_speedCurrent=,0.9999999999999999,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
799,0.799,B,notify,rudder_bus1,rudder_controller1,54,RequestService,rudder_controller1#1,,SERVICE,
800,0.800,B,notify,rudder_controller1_bus,rudder1,10,RequestService,rudder1#4,,SERVICE,
800,0.800,B,service,rudder_controller1_bus,rudder1,10,RequestService,rudder1#4,,SERVICE,,54,_valueCurrent=,-39.5,valueTarget=,45.0,_speedCurrent=,1.0999999999999999,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
800,0.800,B,notify,rudder_bus1,rudder_controller1,55,RequestService,rudder_controller1#1,,SERVICE,
801,0.801,B,notify,rudder_controller1_bus,rudder1,11,RequestService,rudder1#4,,SERVICE,
801,0.801,B,service,rudder_controller1_bus,rudder1,11,RequestService,rudder1#4,,SERVICE,,55,_valueCurrent=,-38.4,valueTarget=,45.0,_speedCurrent=,1.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
801,0.801,B,notify,rudder_bus1,rudder_controller1,56,RequestService,rudder_controller1#1,,SERVICE,
802,0.802,B,notify,rudder_controller1_bus,rudder1,12,RequestService,rudder1#4,,SERVICE,
802,0.802,B,service,rudder_controller1_bus,rudder1,12,RequestService,rudder1#4,,SERVICE,,56,_valueCurrent=,-37.199999999999996,valueTarget=,45.0,_speedCurrent=,1.3,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
802,0.802,B,notify,rudder_bus1,rudder_controller1,57,RequestService,rudder_controller1#1,,SERVICE,
803,0.803,B,notify,rudder_controller1_bus,rudder1,13,RequestService,rudder1#4,,SERVICE,
803,0.803,B,service,rudder_controller1_bus,rudder1,13,RequestService,rudder1#4,,SERVICE,,57,_valueCurrent=,-35.9,valueTarget=,45.0,_speedCurrent=,1.4000000000000001,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
803,0.803,B,notify,rudder_bus1,rudder_controller1,58,RequestService,rudder_controller1#1,,SERVICE,
804,0.804,B,notify,rudder_controller1_bus,rudder1,14,RequestService,rudder1#4,,SERVICE,
804,0.804,B,service,rudder_controller1_bus,rudder1,14,RequestService,rudder1#4,,SERVICE,,58,_valueCurrent=,-34.5,valueTarget=,45.0,_speedCurrent=,1.5000000000000002,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
